.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
dysbiosis_score,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d8,6,6,2.5955427380922007,0.009444165687832646,0.014166248531748969,*
dysbiosis_score,untreated_opa1floxed_vilcre_d0,opa1floxed_vilcre_tam_d21,6,6,3.244428422615251,0.001176865910624739,0.0035305977318742174,**
dysbiosis_score,opa1floxed_vilcre_tam_d8,opa1floxed_vilcre_tam_d21,6,6,0.6488856845230502,0.5164122683960384,0.5164122683960384,ns
