taxon,rho,pval,padj,sig,dir,func_guild,in_ml_top_taxa,colour_cat,label_set
Species|[Bacteroides] pectinophilus,-0.17440660474716202,0.4888387099593372,0.6328043959693398,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Streptomyces sp. enrichment culture,0.17440660474716202,0.48883870995933687,0.6328043959693398,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Pseudobutyrivibrio xylanivorans,-0.17234262125902994,0.49407642787678374,0.6367855930403187,FALSE,Dysbiosis-protecting,ROS sensitive,FALSE,ROS sensitive,NA
Family|Atopobiaceae,-0.17234262125902994,0.49407642787678374,0.6367855930403187,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Bacteroides sp. HF-162,0.17027863777089783,0.49934109695673967,0.6407666799728098,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Lactobacillus isalae,-0.17027863777089783,0.49934109695673967,0.6407666799728098,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Prevotella sp.,0.16821465428276572,0.5046325110850313,0.6447473948570139,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Dehalococcoidia bacterium,0.16821465428276572,0.5046325110850313,0.6447473948570139,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Order|Coriobacteriales,-0.16615067079463364,0.509950460343896,0.6501316474947073,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Muribaculaceae bacterium,-0.16408668730650156,0.5152947310342105,0.6555261265208424,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Prevotella sp. E15-22,-0.16202270381836945,0.5206651056985048,0.6595091338847727,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Adlercreutzia equolifaciens,-0.16202270381836945,0.5206651056985048,0.6595091338847727,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Parabacteroides sp. ASD2025,-0.15995872033023736,0.5260613631447351,0.6620729548979678,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Helicobacter winghamensis,-0.15995872033023736,0.5260613631447351,0.6620729548979678,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Paraclostridium sordellii,0.15995872033023736,0.5260613631447347,0.6620729548979678,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Bacteroides sp. CACC 737,0.15789473684210525,0.5314832784708438,0.6674704712565607,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Candidatus Coprenecus stercorigallinarum,0.15583075335397317,0.5369306230900768,0.6714482738854676,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Anaeropeptidivorans aminofermentans,-0.15583075335397317,0.5369306230900768,0.6714482738854676,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Candidatus Latescibacterota bacterium,0.1537667698658411,0.5424031647570589,0.6754238140420881,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Vallitalea guaymasensis,-0.1537667698658411,0.5424031647570585,0.6754238140420881,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Prevotella sp. E9-3,0.15170278637770898,0.5479006675946312,0.6793968278173427,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Aeromonas,0.15170278637770898,0.5479006675946312,0.6793968278173427,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Lactobacillus gasseri,0.14963880288957687,0.5534228921214379,0.6819374130952446,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|uncultured Solirubrobacterales bacterium,0.14963880288957687,0.5534228921214379,0.6819374130952446,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|uncultured Actinomycetota bacterium,0.14963880288957687,0.5534228921214379,0.6819374130952446,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Streptococcus parasuis,0.1475748194014448,0.5589695952802587,0.6873342205011949,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Oscillospiraceae bacterium D1,-0.1455108359133127,0.5645405304670845,0.6912980716114611,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|uncultured murine large bowel bacterium BAC 54B,-0.1455108359133127,0.5645405304670845,0.6912980716114611,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Bacteroides stercoris,0.1434468524251806,0.5701354475609232,0.6967007855049456,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Family|Muribaculaceae,-0.1413828689370485,0.575754092954349,0.7021100636648272,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Genus|Flavobacterium,0.1372549019607843,0.5870615369663569,0.7129468974704828,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Cellulosilyticum,0.1372549019607843,0.5870615369663569,0.7129468974704828,FALSE,Dysbiosis-promoting,ML top taxa,TRUE,ML top taxa,NA
Order|Cytophagales,-0.13519091847265222,0.5927498112228577,0.7183737424079489,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Candidatus Gallibacteroides avistercoris,0.1331269349845201,0.5984607651208831,0.7208453796650309,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Klebsiella pneumoniae,0.1331269349845201,0.5984607651208831,0.7208453796650309,FALSE,Dysbiosis-promoting,IBD-enriched,FALSE,IBD-enriched,NA
Genus|Limosilactobacillus,0.1331269349845201,0.5984607651208831,0.7208453796650309,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Flavobacteriaceae bacterium,0.13106295149638802,0.6041941281040614,0.7247868461370521,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Species|Longicatena caecimuris,-0.13106295149638802,0.6041941281040621,0.7247868461370521,FALSE,Dysbiosis-protecting,NA,FALSE,Protecting (other),NA
Species|Clostridium botulinum,0.12899896800825592,0.6099496263278285,0.7302039225753882,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
Genus|Campylobacter,0.12693498452012383,0.6157269826949077,0.7356251375401636,FALSE,Dysbiosis-promoting,ROS tolerant,FALSE,ROS tolerant,NA
Species|Planctomycetota bacterium,0.12487100103199174,0.62152591689147,0.7395530607052035,FALSE,Dysbiosis-promoting,NA,FALSE,Promoting (other),NA
