taxon,loading_comp1,loading_comp2,abs_loading_comp1,abs_loading_comp2,selected_comp1,selected_comp2,in_heatmap
Species|Phocaeicola dorei,0,0,0,0,FALSE,FALSE,FALSE
Species|Phocaeicola massiliensis,0,0,0,0,FALSE,FALSE,FALSE
Species|Candidatus Gallibacteroides avistercoris,0,0,0,0,FALSE,FALSE,FALSE
Species|Bacteroidaceae bacterium,0,0,0,0,FALSE,FALSE,FALSE
Family|Rikenellaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Alistipes,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Alistipes sp.,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes senegalensis,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes finegoldii,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes onderdonkii,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes dispar,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes communis,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes shahii,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes megaguti,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes sp. i18-0019-D1,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes sp. dk3624,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes putredinis,0,0,0,0,FALSE,FALSE,FALSE
Species|Alistipes indistinctus,0,0,0,0,FALSE,FALSE,FALSE
Species|Candidatus Coprenecus stercorigallinarum,0,0,0,0,FALSE,FALSE,FALSE
Genus|Parabacteroides,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides distasonis,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides merdae,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides sp. ASD2025,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides sp. An277,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides johnsonii,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides goldsteinii,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides faecis,0,0,0,0,FALSE,FALSE,FALSE
Species|Parabacteroides chongii,0,0,0,0,FALSE,FALSE,FALSE
Species|Tannerella serpentiformis,0,0,0,0,FALSE,FALSE,FALSE
Family|Prevotellaceae,0,0,0,0,FALSE,FALSE,FALSE
Genus|Prevotella,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. CAG:1058,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. CAG:755,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. E13-17,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. Rep29,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. E9-3,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. E15-22,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. E2-28,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp. oral taxon 475,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella sp.,0,0,0,0,FALSE,FALSE,FALSE
Species|uncultured Prevotella sp.,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella communis,0,0,0,0,FALSE,FALSE,FALSE
Species|Prevotella intermedia,0,0,0,0,FALSE,FALSE,FALSE
