axis,raw_D0_mean,raw_D8_mean,raw_D21_mean,normalized_D0,normalized_D8,normalized_D21,D0_is_raw_maximum,denominator_status
Butyrate,0.008105786040321432,0.008016992979228133,0.0016404137379481478,100,98.90457186198098,20.237565237819894,TRUE,ok
Acetate,0.0013699202245126905,0.0013724537490604027,4.320938963301819e-4,99.81540182687782,100,31.483312033356185,FALSE,ok
Propionate,0.01878091797037801,0.013014839367379715,0.0071249728079160295,100,69.29820676447883,37.937297948661566,TRUE,ok
H2S producers,2.452240301017071e-4,2.3462248856218006e-4,7.302948483173941e-5,100,95.6767933651812,29.78072124556892,TRUE,ok
ROS-sensitive,0.06697224561234356,0.061982918240039715,0.014395285100211713,100,92.5501566705951,21.49440409021993,TRUE,ok
IBD-depleted,0.06676121850793665,0.061700762499852964,0.014351089206528366,100,92.42006643799934,21.496146306590095,TRUE,ok
TMAO producers,0.008207396526802444,0.005846900766883589,0.005539203221521244,100,71.23940884042445,67.49038143133663,TRUE,ok
LPS producing,0.0073026523828758315,0.004863365301640988,0.005347553077124781,100,66.59724503723075,73.22754523636357,TRUE,ok
SecBile Acid,2.407273247129647e-4,1.7824463422504578e-4,1.3960470545340613e-4,100,74.04420517595116,57.992878714481684,TRUE,ok
